season,date,team_1,team_2,target_result,target_over_2_5,team_1_win_rate_pct,team_1_avg_goal_difference,team_1_avg_goals_scored,team_2_win_rate_pct,team_2_avg_goal_difference,team_2_avg_goals_scored,diff_win_rate,diff_goal_diff,diff_goals_scored,matchup_avg_goals,matchup_intensity_score,matchup_dominance
18/19,9/29/2018,Chelsea,Liverpool,D,Under,56.27,0.77,1.8,54.79,0.81,1.9,1.48,-0.04,-0.1,2.68,25.83,1.05
18/19,11/3/2018,Arsenal,Liverpool,D,Under,52.83,0.67,1.81,54.79,0.81,1.9,-1.96,-0.14,-0.09,3.71,23.96,1.43
18/19,12/8/2018,Chelsea,Manchester City,W1,Under,56.27,0.77,1.8,67.4,1.37,2.24,-11.13,-0.6,-0.44,2.48,28.34,1.52
18/19,2/10/2019,Manchester City,Chelsea,W1,Over,67.4,1.37,2.24,56.27,0.77,1.8,11.13,0.6,0.44,2.48,28.34,1.52
18/19,3/10/2019,Arsenal,Manchester United,W1,Under,52.83,0.67,1.81,56.86,0.81,1.8,-4.03,-0.14,0.01,2.55,29.37,1.18
18/19,11/11/2018,Manchester City,Manchester United,W1,Over,67.4,1.37,2.24,56.86,0.81,1.8,10.54,0.56,0.44,2.68,28.32,1.41
18/19,8/12/2018,Arsenal,Manchester City,W2,Under,52.83,0.67,1.81,67.4,1.37,2.24,-14.57,-0.7,-0.43,2.77,28.05,1.41
18/19,4/14/2019,Liverpool,Chelsea,W1,Under,54.79,0.81,1.9,56.27,0.77,1.8,-1.48,0.04,0.1,2.68,25.83,1.05
18/19,12/16/2018,Liverpool,Manchester United,W1,Over,54.79,0.81,1.9,56.86,0.81,1.8,-2.07,0.0,0.1,2.29,28.66,1.05
18/19,2/24/2019,Manchester United,Liverpool,D,Under,56.86,0.81,1.8,54.79,0.81,1.9,2.07,0.0,-0.1,2.29,28.66,1.05
